feature,dtype,missing_pct,is_constant,is_near_constant,is_leakage,target_corr,redundant_with,decision,reason
BUREAU_AMT_CREDIT_SUM_OVERDUE_MIN,float64,14.31,False,True,False,-0.0004,,drop,near-constant (dominant value >= 99.5%)
BUREAU_CNT_CREDIT_PROLONG_MIN,float64,14.31,False,True,False,-0.0023,,drop,near-constant (dominant value >= 99.5%)
BUREAU_CREDIT_CURRENCY_NUNIQUE,float64,14.31,False,True,False,-0.0035,,drop,near-constant (dominant value >= 99.5%)
BUREAU_CREDIT_DAY_OVERDUE_MIN,float64,14.31,False,True,False,0.0048,,drop,near-constant (dominant value >= 99.5%)
FLAG_CONT_MOBILE,int64,0.0,False,True,False,-0.0016,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_10,int64,0.0,False,True,False,-0.0012,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_11,int64,0.0,False,True,False,-0.004,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_12,int64,0.0,False,True,False,-0.0006,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_13,int64,0.0,False,True,False,-0.0114,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_14,int64,0.0,False,True,False,-0.0087,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_15,int64,0.0,False,True,False,-0.0068,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_17,int64,0.0,False,True,False,-0.0037,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_19,int64,0.0,False,True,False,-0.0013,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_2,int64,0.0,False,True,False,0.0047,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_20,int64,0.0,False,True,False,0.0013,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_21,int64,0.0,False,True,False,0.0047,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_4,int64,0.0,False,True,False,-0.0028,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_7,int64,0.0,False,True,False,-0.0008,,drop,near-constant (dominant value >= 99.5%)
FLAG_DOCUMENT_9,int64,0.0,False,True,False,-0.0047,,drop,near-constant (dominant value >= 99.5%)
FLAG_MOBIL,int64,0.0,False,True,False,0.0006,,drop,near-constant (dominant value >= 99.5%)
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MIN_MAX,float64,82.79,False,True,False,-0.0028,PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MIN_MEAN (corr=1.000),drop,near-constant (dominant value >= 99.5%)
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MIN_MEAN,float64,82.79,False,True,False,-0.0028,,drop,near-constant (dominant value >= 99.5%)
PREV_CC_CNT_DRAWINGS_OTHER_CURRENT_MIN_MAX,float64,82.79,False,True,False,-0.0028,PREV_CC_CNT_DRAWINGS_OTHER_CURRENT_MIN_MEAN (corr=1.000),drop,near-constant (dominant value >= 99.5%)
