feature,importance
num__AMT_GOODS_PRICE,0.7422101809871254
num__AMT_CREDIT,0.7076961381642992
num__PREV_INST_AMT_PAYMENT_MIN_MEAN,0.5829673980083677
cat__ORGANIZATION_TYPE_Transport: type 3,0.411267489842341
num__EXT_SOURCE_3,0.39112504156338757
cat__ORGANIZATION_TYPE_Military,0.37470250429874297
num__EXT_SOURCE_2,0.3745041389109432
num__PREV_INST_AMT_INSTALMENT_STD_MEAN,0.36116178879990685
cat__ORGANIZATION_TYPE_Construction,0.28247196481652254
num__PREV_INST_AMT_INSTALMENT_MIN_MEAN,0.27612890251456473
cat__ORGANIZATION_TYPE_Realtor,0.2760488321832132
cat__ORGANIZATION_TYPE_Police,0.26925609961136965
cat__ORGANIZATION_TYPE_Trade: type 2,0.24920836004749305
num__PREV_POS_CNT_INSTALMENT_FUTURE_MEAN_MAX,0.2487483425492417
num__BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.24712259688823357
cat__OCCUPATION_TYPE_Low-skill Laborers,0.24573923438835182
cat__ORGANIZATION_TYPE_Industry: type 9,0.2439919072211195
num__PREV_INST_AMT_PAYMENT_SUM_MAX,0.23701211824333815
num__BUREAU_AMT_CREDIT_SUM_DEBT_MAX,0.2303578610105217
cat__ORGANIZATION_TYPE_Security Ministries,0.22682620650620547
num__FLAG_DOCUMENT_3,0.22576738629870494
num__BUREAU_BB_COUNT_MEAN,0.22557983778766338
cat__CODE_GENDER_F,0.21424075816733654
num__PREV_INST_COUNT_MEAN,0.2134596349063514
cat__NAME_HOUSING_TYPE_Office apartment,0.21261587411701868
num__DAYS_EMPLOYED,0.2021485357781027
num__PREV_CC_AMT_PAYMENT_CURRENT_SUM_MAX,0.18811622611798362
cat__OCCUPATION_TYPE_Accountants,0.18405117365045168
cat__ORGANIZATION_TYPE_Legal Services,0.1835727307650101
num__PREV_INST_AMT_INSTALMENT_SUM_MAX,0.1825427946644715
num__PREV_INST_AMT_PAYMENT_SUM_MEAN,0.18036708596620718
num__AMT_ANNUITY,0.18016285325770223
num__PREV_INST_AMT_PAYMENT_MIN_MAX,0.1799638204462327
cat__ORGANIZATION_TYPE_Restaurant,0.1782376006877704
cat__ORGANIZATION_TYPE_Bank,0.1772595688159497
num__BASEMENTAREA_MEDI,0.17611921430679217
num__PREV_POS_CNT_INSTALMENT_MIN_MEAN,0.17444134399204378
num__PREV_DAYS_TERMINATION_SUM,0.173117636570649
num__BUREAU_COUNT,0.1706782838459779
cat__NAME_EDUCATION_TYPE_Lower secondary,0.17002614660316628
num__EXT_SOURCE_1,0.16963651861044776
num__PREV_INST_NUM_INSTALMENT_VERSION_STD_MEAN,0.1686755626362487
cat__ORGANIZATION_TYPE_School,0.16524660994352056
num__PREV_CC_AMT_PAYMENT_CURRENT_SUM_MEAN,0.1646311814587493
cat__ORGANIZATION_TYPE_Self-employed,0.16462702578044003
num__PREV_INST_AMT_INSTALMENT_MEAN_MAX,0.16204072362252595
num__PREV_CC_AMT_DRAWINGS_CURRENT_SUM_MEAN,0.1591478074745798
num__PREV_INST_AMT_PAYMENT_MEAN_MEAN,0.1579832335448001
cat__FLAG_OWN_CAR_Y,0.15787702283296023
cat__ORGANIZATION_TYPE_Hotel,0.15577693939383627
num__PREV_DAYS_LAST_DUE_SUM,0.15540362523613785
cat__ORGANIZATION_TYPE_Industry: type 3,0.15441901494318042
num__BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.15371677250485902
num__BASEMENTAREA_AVG,0.15216037153732348
cat__CODE_GENDER_M,0.1512201359915105
num__PREV_POS_SK_DPD_DEF_MAX_MAX,0.1486395875954839
cat__NAME_EDUCATION_TYPE_Higher education,0.14850728568300975
cat__NAME_CONTRACT_TYPE_Cash loans,0.1481730266209501
num__BUREAU_DAYS_CREDIT_SUM,0.14692244177571137
num__PREV_INST_DAYS_INSTALMENT_MIN_MAX,0.14489298553286192
num__PREV_DAYS_FIRST_DRAWING_MIN,0.1417830861033935
num__PREV_INST_AMT_PAYMENT_MAX_MEAN,0.14160972488385598
num__FLAG_DOCUMENT_6,0.13976252451333016
num__PREV_AMT_CREDIT_MEAN,0.13957063916867693
