feature,importance
cat__FLAG_OWN_CAR_Y,0.12811878
cat__EMERGENCYSTATE_MODE_missing,0.044681445
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.040526565
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.03908917
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.033474516
cat__FLAG_OWN_CAR_N,0.032340955
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.03129263
num__FLAG_DOCUMENT_3,0.03109597
cat__NAME_FAMILY_STATUS_Married,0.030088205
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.029327607
cat__OCCUPATION_TYPE_Laborers,0.027651938
cat__FLAG_OWN_REALTY_N,0.023177335
num__FLAG_PHONE,0.019663123
cat__EMERGENCYSTATE_MODE_No,0.019063814
cat__CODE_GENDER_F,0.019019755
num__OBS_30_CNT_SOCIAL_CIRCLE,0.018867891
cat__OCCUPATION_TYPE_Sales staff,0.018753909
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.018547969
cat__FLAG_OWN_REALTY_Y,0.017718969
cat__NAME_INCOME_TYPE_Working,0.017437963
cat__CODE_GENDER_M,0.017419603
cat__HOUSETYPE_MODE_block of flats,0.017339941
num__BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.01726931
cat__NAME_EDUCATION_TYPE_Higher education,0.013688208
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.012461119
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.011415834
num__PREV_POS_NAME_CONTRACT_STATUS_NUNIQUE_MAX,0.0109507805
cat__OCCUPATION_TYPE_missing,0.00989298
num__PREV_NAME_TYPE_SUITE_NUNIQUE,0.009669836
cat__NAME_TYPE_SUITE_Unaccompanied,0.009153189
num__PREV_NAME_SELLER_INDUSTRY_NUNIQUE,0.008838184
num__REGION_RATING_CLIENT_W_CITY,0.007896308
cat__ORGANIZATION_TYPE_Self-employed,0.007692467
num__BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.007390805
num__EXT_SOURCE_2,0.0067824703
num__PREV_NAME_GOODS_CATEGORY_NUNIQUE,0.0061377827
num__PREV_INST_NUM_INSTALMENT_VERSION_MEAN_MAX,0.005777862
num__PREV_CODE_REJECT_REASON_NUNIQUE,0.005630603
num__HAS_BUREAU_HISTORY,0.005538687
cat__OCCUPATION_TYPE_Core staff,0.0051889704
num__FLAG_WORK_PHONE,0.004626249
cat__FONDKAPREMONT_MODE_reg oper account,0.0044314037
num__CNT_CHILDREN,0.0043859873
num__BUREAU_CREDIT_ACTIVE_NUNIQUE,0.004339344
num__AMT_REQ_CREDIT_BUREAU_MON,0.003695702
num__AMT_REQ_CREDIT_BUREAU_QRT,0.003684143
num__BUREAU_CREDIT_TYPE_NUNIQUE,0.0034705808
num__BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0032052374
cat__NAME_HOUSING_TYPE_House / apartment,0.0030580023
num__EXT_SOURCE_3,0.0028429776
num__PREV_RATE_DOWN_PAYMENT_MAX,0.0026713319
cat__NAME_CONTRACT_TYPE_Revolving loans,0.002569156
"cat__WALLSMATERIAL_MODE_Stone, brick",0.0023948532
num__PREV_NAME_YIELD_GROUP_NUNIQUE,0.0021581543
cat__OCCUPATION_TYPE_Drivers,0.0021326118
num__PREV_RATE_DOWN_PAYMENT_MIN,0.0020963033
num__PREV_NAME_PAYMENT_TYPE_NUNIQUE,0.0020680784
num__BUREAU_AMT_CREDIT_SUM_DEBT_STD,0.0019889371
num__PREV_POS_SK_DPD_MEAN_MEAN,0.0019389265
num__BUREAU_AMT_CREDIT_SUM_DEBT_MIN,0.0018856224
cat__NAME_INCOME_TYPE_Commercial associate,0.0017471998
num__DEF_30_CNT_SOCIAL_CIRCLE,0.0017015766
num__EXT_SOURCE_1,0.0016141996
num__PREV_HOUR_APPR_PROCESS_START_MAX,0.0016088941
num__BUREAU_DAYS_CREDIT_MIN,0.0015844392
num__PREV_AMT_DOWN_PAYMENT_MAX,0.0015566197
num__PREV_POS_MONTHS_BALANCE_MAX_MAX,0.0014716462
num__BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,0.0014452056
num__PREV_INST_COUNT_MAX,0.0014309357
num__PREV_INST_NUM_INSTALMENT_VERSION_MAX_MAX,0.0014283675
cat__NAME_FAMILY_STATUS_Civil marriage,0.0014129101
num__PREV_NAME_CASH_LOAN_PURPOSE_NUNIQUE,0.0013974103
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0013935949
num__PREV_POS_SK_DPD_MAX_MAX,0.0012866677
num__PREV_CC_CNT_DRAWINGS_CURRENT_MAX_MAX,0.0011584817
num__AMT_GOODS_PRICE,0.0011509585
num__PREV_POS_CNT_INSTALMENT_MAX_MAX,0.0011390224
num__ENTRANCES_MODE,0.0011032325
num__CNT_FAM_MEMBERS,0.0010558043
num__AMT_CREDIT,0.0010142686
num__REG_CITY_NOT_WORK_CITY,0.0010084804
num__PREV_NAME_PRODUCT_TYPE_NUNIQUE,0.0009962242
cat__NAME_CONTRACT_TYPE_Cash loans,0.00093575515
num__DAYS_EMPLOYED,0.00092674437
num__PREV_CC_AMT_PAYMENT_TOTAL_CURRENT_SUM_MAX,0.0009053966
num__PREV_CC_CNT_DRAWINGS_CURRENT_MAX_MEAN,0.00089587347
num__PREV_POS_CNT_INSTALMENT_FUTURE_MAX_MAX,0.00086756586
num__LIVE_CITY_NOT_WORK_CITY,0.0008034885
num__HOUR_APPR_PROCESS_START,0.0007956379
num__PREV_INST_NUM_INSTALMENT_NUMBER_SUM_MAX,0.00078063924
num__PREV_POS_SK_DPD_DEF_MAX_MAX,0.00076399284
num__PREV_NFLAG_INSURED_ON_APPROVAL_STD,0.0007290921
num__REG_CITY_NOT_LIVE_CITY,0.00069544837
num__FLOORSMAX_MEDI,0.00067794364
num__PREV_INST_AMT_PAYMENT_MIN_MEAN,0.00066564017
num__PREV_POS_SK_DPD_DEF_MEAN_MAX,0.0006415804
num__PREV_CNT_PAYMENT_MAX,0.0006383315
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.0006315663
num__FLOORSMAX_AVG,0.0006162876
cat__NAME_FAMILY_STATUS_Single / not married,0.0005986464
num__BUREAU_AMT_CREDIT_SUM_LIMIT_STD,0.00059688877
num__PREV_POS_SK_DPD_MEAN_MAX,0.0005934664
num__DEF_60_CNT_SOCIAL_CIRCLE,0.0005833053
num__PREV_INST_AMT_PAYMENT_MIN_MAX,0.0005695809
num__PREV_INST_NUM_INSTALMENT_NUMBER_SUM_MEAN,0.00056784163
cat__OCCUPATION_TYPE_High skill tech staff,0.00053411693
num__PREV_INST_AMT_PAYMENT_STD_MAX,0.00053387764
num__OBS_60_CNT_SOCIAL_CIRCLE,0.0005327164
num__PREV_DAYS_DECISION_MIN,0.0005241933
num__PREV_DAYS_FIRST_DRAWING_SUM,0.00051823526
num__ENTRANCES_AVG,0.00051822345
num__PREV_POS_CNT_INSTALMENT_FUTURE_MIN_MEAN,0.0005085415
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,0.00050191587
num__PREV_POS_SK_DPD_DEF_MEAN_MEAN,0.00049880537
num__PREV_INST_DAYS_INSTALMENT_STD_MAX,0.0004973006
