model,threshold,TN,FP,FN,TP,recall,precision,f1,total_cost
LogisticRegression,0.01,121,226027,4,19856,0.9997985901309164,0.08075385447550258,0.14943761453735377,226067
LogisticRegression,0.02,298,225850,5,19855,0.9997482376636455,0.08080828635965893,0.14953024683222563,225900
LogisticRegression,0.03,655,225493,6,19854,0.9996978851963746,0.0809221225448039,0.14972455478173652,225553
LogisticRegression,0.04,1256,224892,10,19850,0.999496475327291,0.08110581755481282,0.150036658830999,224992
LogisticRegression,0.05,2211,223937,20,19840,0.998992950654582,0.08138585674612453,0.1505099815276308,224137
LogisticRegression,0.060000000000000005,3593,222555,34,19826,0.9982880161127895,0.08179684051142623,0.15120442646268129,222895
LogisticRegression,0.06999999999999999,5181,220967,55,19805,0.9972306143001007,0.08225624242021498,0.1519767334786212,221517
LogisticRegression,0.08,7274,218874,72,19788,0.9963746223564954,0.08291223571410614,0.15308561747162716,219594
LogisticRegression,0.09,9584,216564,107,19753,0.9946122860020141,0.08358687694918267,0.1542136881921484,217634
LogisticRegression,0.09999999999999999,12171,213977,136,19724,0.9931520644511581,0.08439844074265836,0.1555759758006949,215337
LogisticRegression,0.11,15124,211024,185,19675,0.9906847935548841,0.08528428818503765,0.15704883879645112,212874
LogisticRegression,0.12,18222,207926,214,19646,0.9892245720040282,0.08632872233842476,0.15879918523068964,210066
LogisticRegression,0.13,21600,204548,261,19599,0.9868580060422961,0.08743815442544402,0.16064293237489088,207158
LogisticRegression,0.14,25102,201046,302,19558,0.9847935548841893,0.08865659734184331,0.1626688402421984,204066
LogisticRegression,0.15000000000000002,28705,197443,351,19509,0.9823262839879154,0.08992311663409418,0.16476360995219838,200953
LogisticRegression,0.16,32437,193711,421,19439,0.9788016112789527,0.09119868637110017,0.16685120810265655,197921
LogisticRegression,0.17,36354,189794,490,19370,0.9753272910372608,0.09260675833317397,0.16915257789576638,194694
LogisticRegression,0.18000000000000002,40365,185783,561,19299,0.9717522658610271,0.09410382188587979,0.17159089898729452,191393
